x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
,29.83,2.04,,,,,0.04,f,,,f,,,1.0
,32.25,,,p,ff,ff,0.0,f,t,2.0,,,160.0,1.0
a,41.58,,u,g,aa,v,665.0,f,f,0.0,f,g,,237.0
a,,7.08,u,g,k,,6.75,,t,3.0,t,g,,50.0
,74.83,19.0,y,p,ff,ff,,,t,2.0,,g,0.0,
,22.25,,u,g,,v,,f,f,,t,,,
,15.92,2875.0,,g,,v,85.0,f,f,,f,,120.0,0.0
,19.17,,u,,w,,,,,0.0,,g,120.0,2206.0
a,,8125.0,y,p,k,v,165.0,f,t,2.0,f,,,18.0
b,19.42,,u,g,m,v,,f,t,1.0,f,g,,1.0
a,,1835.0,u,g,j,j,,f,t,,f,,200.0,
,35.25,,u,g,x,h,,,f,0.0,,g,,
b,20.17,,,,,v,1.71,t,,,f,s,,
b,,,,g,,,875.0,,,,t,,,0.0
,,10.0,u,g,,,1.0,f,,,f,g,,1.0
a,33.08,,u,g,,v,0.54,,f,,t,g,0.0,0.0
b,33.75,,u,g,i,bb,,f,f,,f,,180.0,
b,,2.04,u,g,w,v,,t,,,,,,5800.0
a,,1335.0,u,g,i,o,335.0,f,,,f,g,,120.0
a,,6665.0,u,g,q,v,7375.0,t,,3.0,t,,0.0,0.0
b,35.58,0.75,u,g,k,v,,f,f,0.0,t,g,,0.0
b,23.75,415.0,y,p,,,0.04,,t,2.0,f,,,6.0
a,20.08,1.25,,g,c,v,0.0,f,,,f,,0.0,0.0
a,25.0,,y,p,,v,4.5,,,0.0,f,,,
b,,0.75,u,g,,v,,t,,5.0,t,g,,690.0
b,,3.25,y,,,h,5085.0,f,t,,,g,,1.0
a,24.75,,,g,aa,,1.5,t,,12.0,t,g,120.0,567.0
,,1.75,y,p,,,,f,f,0.0,,g,,1.0
