x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
b,,,y,,,v,7.0,,f,0.0,t,g,280.0,,-
,,25125.0,,g,,,1625.0,,,,,g,515.0,500.0,+
,42.0,205.0,u,g,i,h,5125.0,t,,,f,g,400.0,,+
,,1.75,,,,,0.21,,,,f,g,,0.0,-
b,42.0,9.79,u,g,,h,,t,t,,f,,0.0,,+
b,37.5,,y,p,,,1.5,,f,0.0,t,,431.0,,+
b,,0.42,u,,,h,0.21,t,t,,f,g,220.0,,+
a,,,,g,aa,v,0.5,f,f,0.0,t,g,,117.0,-
a,36.75,,u,,e,v,,,f,0.0,,g,,4000.0,+
,13.75,,,p,,v,1.75,t,,,t,g,,1000.0,+
,22.58,,,,x,v,,,t,9.0,,g,60.0,,+
,40.92,,y,p,x,h,,,f,,,g,,,-
b,,,y,,w,v,3.0,f,f,0.0,f,s,,0.0,-
a,,2.5,u,,i,h,,f,f,,f,g,,246.0,-
b,30.33,,u,,d,h,85.0,f,f,0.0,,s,,0.0,-
a,25.42,,u,,q,v,1.29,,,,f,,200.0,,-
,31.25,2835.0,u,g,ff,,0.0,,,5.0,f,g,176.0,,-
b,48.33,,,g,,,,,,0.0,f,s,,0.0,+
,39.25,9.5,,g,m,v,6.5,t,,14.0,,,240.0,4607.0,+
b,25.83,12835.0,u,,,,0.5,f,,,f,g,0.0,,-
,,11.0,u,g,q,,2.5,t,t,,t,g,100.0,,+
b,23.5,3165.0,,,k,,415.0,,t,,t,g,280.0,,-
,26.92,2.25,u,g,i,,0.5,f,f,,,,640.0,4000.0,-
b,,0.0,y,p,aa,,,,,0.0,f,g,60.0,0.0,-
b,,7.5,u,,e,,1585.0,t,f,,t,s,420.0,0.0,-
,,,,g,,,,,t,,t,,,,-
b,,0.54,,,m,,,f,f,,t,g,120.0,,-
,,,u,g,w,,835.0,t,,0.0,,,280.0,0.0,+
a,,13.5,,,,h,,,t,,,,0.0,5000.0,+
,39.5,1625.0,,,c,v,,,,0.0,,,0.0,,-
b,36.67,,u,,,h,9.0,t,,,,g,102.0,639.0,+
b,42.08,,,g,w,v,,,t,6.0,,g,,10000.0,+
,,1.75,,p,j,j,0.0,,f,0.0,f,,,0.0,-
a,22.67,0.75,u,g,c,v,2.0,f,t,2.0,,,,394.0,-
b,16.17,0.04,u,g,c,v,0.04,,f,0.0,,g,0.0,,+
,17.67,,,,c,v,,,f,0.0,f,s,80.0,,-
b,22.5,125.0,,p,k,v,125.0,f,,,f,g,,70.0,-
b,36.33,3.79,u,,,,1165.0,t,f,0.0,,,200.0,,-
a,,9.0,,g,,,,,,0.0,,g,,,+
,,415.0,,p,c,,165.0,,,1.0,,g,,,-
b,29.5,,,g,,,,f,t,1.0,f,g,340.0,,-
b,38.92,,u,g,,v,0.5,,f,0.0,t,g,300.0,2.0,-
a,,13.5,,p,ff,,,,t,1.0,t,g,200.0,1.0,-
,31.83,,,g,,v,7.5,,,0.0,,g,523.0,0.0,-
b,,0.5,,,i,h,,t,,,,,,0.0,+
b,24.08,9.0,u,,aa,v,0.25,f,f,,t,,,0.0,-
a,18.83,9.5,u,g,,,,t,,,t,g,40.0,600.0,+
,,,u,g,k,,1.0,,t,11.0,,,,0.0,-
,,11.5,y,,,h,,f,,,,g,20.0,16.0,-
,,1.71,y,p,m,,165.0,,,,f,,,,-
a,27.58,3.0,u,g,m,v,2.79,f,,1.0,,,280.0,,-
,,,u,,k,v,0.54,t,t,,f,g,380.0,500.0,+
,,,,,,h,5.75,,,0.0,,g,,0.0,-
,47.67,2.5,,,m,,,,,,,,410.0,,+
,30.5,6.5,,g,,,4.0,,t,7.0,t,g,,,+
,,,,,,v,,t,t,6.0,,,,,-
,35.42,12.0,,g,,h,,t,,,f,,,,+
b,,,y,p,cc,v,1.5,f,,0.0,t,g,120.0,0.0,-
,52.5,7.0,u,g,,h,3.0,f,,0.0,f,,,0.0,-
,51.33,10.0,,g,,bb,,t,,,,,,1249.0,+
b,,2085.0,u,g,c,v,,,,,f,g,300.0,0.0,-
b,,0.75,u,g,q,,,,,0.0,,,220.0,,-
,18.08,375.0,l,,cc,ff,,f,f,,t,s,300.0,,+
b,,625.0,u,,aa,,455.0,t,f,0.0,,,200.0,0.0,-
a,28.17,375.0,,,,v,585.0,t,t,4.0,,,,,+
a,22.5,8.46,y,,x,v,2.46,,,,,g,164.0,,+
b,26.67,,y,p,,,1.0,t,t,5.0,,g,160.0,5777.0,+
,,,y,p,k,,85.0,,f,0.0,f,,,,-
a,20.83,8.5,u,g,,,165.0,f,f,0.0,f,g,0.0,351.0,-
a,31.92,3125.0,,g,ff,ff,,,,2.0,t,,,4.0,-
a,,5.0,u,g,aa,v,,,,4.0,f,,,99.0,+
b,,,,g,,v,,f,,0.0,,g,,5.0,-
b,34.75,15.0,u,,r,n,5375.0,,t,,t,,0.0,134.0,+
a,20.75,10335.0,,g,cc,h,335.0,,,1.0,t,g,80.0,50.0,+
b,28.75,1.5,,,c,v,1.5,t,f,0.0,,g,,,-
,,0.75,u,g,q,,,t,t,1.0,f,g,333.0,892.0,+
b,57.42,8.5,u,,e,h,7.0,,t,3.0,,,,0.0,+
a,27.33,1665.0,,g,ff,,,f,f,,f,,,1.0,-
,,,,,i,bb,,,f,0.0,f,g,,,-
a,30.67,,,g,,,,t,t,,,,220.0,19.0,+
,58.33,10.0,u,,q,v,,,t,14.0,,,0.0,1602.0,+
b,19.0,,y,p,c,,,f,f,0.0,t,g,112.0,6.0,-
b,22.67,,u,g,q,,1335.0,,,0.0,f,g,100.0,,+
,,,y,,c,v,2.0,,f,,,s,240.0,,-
b,,20.0,u,g,x,h,17.5,t,t,9.0,,,,,+
,42.75,,u,,,,0.04,,,,,g,108.0,,-
,52.5,,u,g,k,v,,,t,15.0,,g,,11202.0,+
,,11.0,y,p,,v,3.0,t,,0.0,,g,,,-
,,,y,p,,,0.04,f,,,,g,140.0,0.0,-
b,33.67,1.25,u,g,,v,1165.0,f,f,,,,,,-
b,31.08,,y,p,w,,0.04,f,,0.0,f,,160.0,0.0,-
,,2.5,u,g,,v,,t,t,7.0,,,150.0,1270.0,+
b,24.33,,,p,,v,5.5,,f,,,s,,0.0,+
b,31.67,0.83,,g,x,v,1335.0,,,8.0,,g,,3290.0,+
b,33.58,,y,p,,v,,f,f,0.0,f,g,,0.0,-
,29.5,2.0,y,,,h,2.0,f,f,0.0,f,g,,17.0,-
,40.83,,,,i,bb,0.5,f,,0.0,,,1160.0,,-
b,21.83,0.25,u,,d,h,,,,0.0,,g,,,+
b,32.25,,,,c,h,,t,t,1.0,,,432.0,8000.0,+
,,1.5,,g,,v,,f,f,,t,g,,350.0,-
b,20.0,,,g,d,v,0.5,f,f,0.0,f,,144.0,0.0,-
b,,,,p,,v,5.25,,,,,g,211.0,0.0,+
b,,,y,p,k,,0.25,t,,10.0,t,,320.0,,+
,25.25,12.5,u,g,,v,1.0,,,0.0,,,,,-
,,2.71,,g,,v,2415.0,,f,,,,,,-
b,50.75,585.0,u,,ff,,,,,0.0,,,145.0,0.0,-
a,24.75,,u,g,,h,1835.0,t,t,19.0,,g,0.0,500.0,+
,20.0,11045.0,u,,c,v,,,,0.0,,g,136.0,0.0,-
b,,4.5,u,,w,v,7.5,,t,2.0,,,,,+
b,43.0,0.29,y,p,cc,h,1.75,t,t,,f,g,,375.0,+
,,5875.0,,,q,,,t,t,,,g,120.0,245.0,+
a,27.42,14.5,u,,,,3085.0,t,,,f,,120.0,11.0,+
,24.17,875.0,,g,,v,,t,,,t,g,520.0,2000.0,+
,,1.04,,,,,,,,0.0,t,,164.0,31285.0,+
,19.17,8585.0,,,,,,,t,7.0,f,g,96.0,0.0,+
a,33.67,,,,cc,,,,,,f,g,,44.0,+
,28.25,5125.0,u,,x,,4.75,t,t,2.0,f,,420.0,,+
a,38.92,,u,g,aa,,0.25,f,f,0.0,,g,,390.0,-
a,,0.29,u,,ff,,0.0,,,10.0,f,,200.0,18.0,-
b,,0.75,u,g,i,v,1585.0,f,t,1.0,t,,,9.0,-
a,29.5,,y,,x,v,1.0,,f,0.0,f,,,13.0,-
b,21.0,,,,,v,2.25,,t,1.0,t,g,80.0,,+
,21.92,11665.0,u,g,,,85.0,,,0.0,,,,,-
,,14.0,u,g,ff,ff,0.0,,,,t,g,0.0,1400.0,+
,,,u,g,,v,,,f,0.0,f,,,0.0,-
b,24.08,875.0,u,g,,v,,f,t,4.0,f,g,254.0,1950.0,-
b,21.25,,u,g,,v,1.5,,f,0.0,f,,,8.0,+
a,57.58,2.0,u,g,,,,,,,,,0.0,,-
b,,14.5,u,g,d,v,125.0,f,f,0.0,,g,0.0,,-
,30.17,6.5,u,,,,3125.0,t,t,8.0,f,g,330.0,1200.0,+
b,30.58,2.71,y,,m,,,f,f,,t,,,0.0,-
b,,,u,g,w,v,0.0,t,,0.0,,,239.0,200.0,+
,22.17,2.25,u,g,i,v,125.0,f,f,0.0,f,,,,-
b,,12.75,y,,c,h,5.0,t,f,0.0,,g,112.0,0.0,-
b,,0.04,,p,m,,0.04,,f,0.0,f,,0.0,0.0,-
b,,11.0,u,g,,z,20.0,t,t,,t,,,,+
b,16.92,335.0,y,p,k,v,0.29,f,,0.0,f,s,200.0,,-
b,,2.75,,g,w,v,1.75,t,t,5.0,t,g,,58.0,+
,,16.0,u,g,j,ff,0.0,t,,15.0,,g,,,+
,48.17,7625.0,u,,,h,15.5,,,12.0,,,,790.0,+
,,,,,,z,,,,,,g,0.0,109.0,+
,33.17,,y,,x,v,,,t,3.0,,g,380.0,,+
,27.17,1.25,,g,,ff,0.0,,t,,f,g,92.0,300.0,-
,,875.0,u,,m,v,0.96,t,t,3.0,t,,,0.0,+
b,,12.0,,g,c,,2085.0,f,f,0.0,f,s,,0.0,-
b,,6.5,u,g,,,1.46,,t,,,,80.0,,+
,,,u,g,,ff,0.0,f,f,0.0,f,s,0.0,0.0,-
a,35.75,915.0,u,g,,,0.75,,t,4.0,f,g,0.0,1583.0,+
a,19.67,0.21,u,g,q,h,,,,11.0,,g,80.0,,+
b,,5.0,,,i,bb,,f,f,0.0,t,,,0.0,-
a,22.83,,,,q,,2.29,,t,7.0,t,,140.0,2384.0,+
b,,0.04,y,p,d,,4.25,,f,0.0,t,g,460.0,0.0,-
b,,,,,,ff,,f,,,f,g,80.0,,-
,17.83,11.0,,,x,h,,,t,11.0,,,0.0,,+
b,31.67,16165.0,u,g,,v,3.0,,,,f,g,250.0,,+
a,,3.04,y,p,,,2.54,,,1.0,f,,,,+
b,,625.0,u,,k,v,0.25,f,f,0.0,f,g,380.0,2010.0,-
,19.5,165.0,u,,,,,,f,0.0,t,g,380.0,0.0,-
,25.0,,u,,x,h,,,f,0.0,t,g,,5860.0,+
,29.75,665.0,u,g,,,0.25,,,0.0,,,300.0,,-
b,,1665.0,u,,,h,5085.0,,t,9.0,,g,399.0,,+
,47.33,6.5,,g,c,v,,f,,,t,,,,-
b,23.42,1.0,u,g,,v,0.5,f,,0.0,t,,,,-
a,,0.75,,,,bb,,t,,3.0,t,,,0.0,-
b,32.33,2.5,u,,c,v,1.25,f,f,0.0,t,,280.0,0.0,-
b,22.92,,u,g,m,v,,,,0.0,f,s,0.0,,-
,28.25,5.04,,,c,,1.5,t,,,,g,144.0,7.0,+
b,30.17,,,p,,,0.04,f,,,f,g,,179.0,-
b,,0.0,,,,,0.0,,f,0.0,f,,,,+
b,,9585.0,,g,,v,,,f,0.0,f,g,80.0,350.0,-
a,,11.25,y,p,,h,0.75,t,t,,,g,,,+
,34.17,,u,g,,v,85.0,,,0.0,t,g,290.0,6.0,+
b,24.5,,,p,aa,,,,f,0.0,t,g,120.0,475.0,-
b,55.92,,u,g,ff,,5.0,t,t,,f,g,,8851.0,+
,22.0,0.79,u,g,w,v,0.29,f,t,1.0,f,g,420.0,283.0,-
,,,,p,,v,8.5,t,f,0.0,f,,,,-
,28.58,,u,g,q,v,,,,0.0,t,g,440.0,,-
,,0.0,y,p,,bb,0.0,,,0.0,t,s,,1.0,+
,22.08,,,g,k,,1585.0,f,f,,t,,100.0,1212.0,-
b,,,,g,d,,,t,t,,t,g,0.0,,+
b,80.25,5.5,u,g,,,0.54,t,f,,,g,0.0,340.0,-
b,,4625.0,u,g,q,,4.58,,,,f,,0.0,0.0,+
,33.17,2.25,y,p,,v,3.5,f,f,,,g,,141.0,-
,,11.5,y,,j,,,,,11.0,,g,,0.0,+
,,12625.0,,g,c,,,f,,2.0,,g,,5552.0,-
a,,0.5,,,e,,1.0,f,,0.0,,,260.0,0.0,-
b,,,,,i,,415.0,f,f,0.0,t,,120.0,,-
a,33.08,,u,g,q,h,1625.0,,t,,f,g,0.0,0.0,+
,39.33,,u,g,,h,10.0,t,t,14.0,,,399.0,0.0,+
,27.25,1585.0,u,g,cc,,1835.0,t,t,12.0,t,g,583.0,713.0,+
a,,0.54,u,,,v,0.04,,,,f,,440.0,11177.0,+
,,15.5,,,c,v,,,f,0.0,,g,,0.0,-
b,,,u,,e,,0.0,f,,,f,g,,12.0,-
,,,,g,i,bb,3085.0,f,f,,,g,73.0,,-
b,32.83,2.5,u,g,cc,h,2.75,t,,6.0,,,160.0,2072.0,+
,48.58,,u,g,,,,t,,0.0,,g,350.0,,+
,,,,p,,,,,t,,t,g,80.0,500.0,+
a,58.42,21.0,,g,,bb,,,t,13.0,f,g,,,+
,,,,g,,,,,f,0.0,,g,,,-
b,20.42,0.0,,,,,0.0,f,f,0.0,,p,,0.0,-
a,35.17,3.75,u,,ff,,,,,,f,g,0.0,200.0,-
,,3.29,u,g,,v,3.5,f,f,0.0,t,s,400.0,0.0,-
b,27.75,,,,,v,0.25,t,t,,,,,500.0,+
b,,1.5,u,,i,bb,,f,f,0.0,f,,,,-
,43.17,2.25,,,,,,t,,0.0,,g,,,-
,42.83,1.25,,g,m,v,13875.0,f,t,,t,,352.0,112.0,-
b,25.17,6.0,,g,c,v,1.0,,,,f,,0.0,,+
,28.0,,,g,,,0.75,f,f,0.0,t,g,,,-
,,4.0,u,,j,j,0.0,t,,,,,100.0,960.0,+
b,,4.25,u,g,cc,,,,,,,,120.0,0.0,+
b,32.08,4.0,u,g,m,,,t,f,0.0,t,g,,0.0,+
b,48.25,25085.0,u,,,,,t,,,f,g,,,+
,18.75,7.5,u,g,q,,2.71,,,5.0,f,g,,,+
b,23.08,,u,,ff,ff,85.0,f,f,,,,100.0,4208.0,-
a,44.33,0.0,u,g,,,2.5,t,,,f,,,0.0,+
a,,,u,g,j,j,0.0,,,,t,,,,-
b,18.58,5.71,u,g,d,v,,,f,,f,,120.0,0.0,-
,,0.75,,g,,,0.5,,f,0.0,t,,,,-
,20.33,10.0,,g,,,,t,,,f,g,50.0,,+
,,,u,g,q,,375.0,,t,,f,g,,0.0,-
b,21.17,,u,,c,v,0.5,,,,t,,0.0,,-
b,,,,,,v,1.75,t,t,11.0,f,,32.0,540.0,+
,,,,,q,,,t,,3.0,f,g,100.0,6.0,+
a,,1.5,u,g,ff,ff,0.0,,,0.0,,g,76.0,,-
a,20.42,,y,p,,h,,f,,0.0,t,,,,-
b,17.08,,,,,v,0.04,f,,0.0,,g,140.0,722.0,-
b,19.67,,,g,q,,2.0,t,t,,t,g,,,+
,,13585.0,u,g,,h,,t,,0.0,,g,0.0,0.0,+
,23.92,,u,,c,,165.0,f,,0.0,f,g,,0.0,+
,,7.5,,,,v,1415.0,t,t,1.0,f,g,80.0,,+
b,39.58,,u,g,w,v,,,t,,t,,,,+
b,25.0,12.5,u,g,aa,v,3.0,t,f,0.0,t,s,,,+
,45.33,1.0,u,,q,v,125.0,,f,,t,g,,0.0,-
b,20.0,1.25,y,p,k,v,125.0,f,,0.0,,g,,,-
,,,,g,k,h,3.5,,,0.0,t,g,340.0,,-
,53.92,,,,e,v,,t,t,5.0,f,,0.0,,+
,17.08,,u,,i,,335.0,f,,0.0,t,g,140.0,2.0,-
,33.67,,u,,,,1.5,,f,,f,,120.0,0.0,-
b,23.92,585.0,y,,cc,h,,f,,,f,g,240.0,1.0,-
,36.17,18125.0,,g,w,,,f,f,0.0,f,g,,3552.0,-
b,,,,g,,v,,f,,0.0,f,g,0.0,,-
b,63.33,0.54,,g,c,v,,t,t,3.0,,,180.0,,-
b,49.58,19.0,,g,ff,,0.0,,t,,f,g,,0.0,-
b,20.25,9.96,u,g,e,dd,0.0,,,,f,,,,+
b,,,,g,k,h,4165.0,t,t,,t,g,,0.0,+
a,23.58,585.0,,p,ff,,125.0,,f,,,,120.0,87.0,-
,,22.0,,gg,ff,o,0.0,f,f,0.0,t,p,,,+
,36.08,2.54,u,g,,,0.0,f,f,0.0,f,,,1000.0,-
b,37.5,,y,p,c,,0.25,,f,0.0,,g,164.0,,-
,,,u,,,,5.0,,,3.0,t,g,,2279.0,+
,51.42,,,g,,h,,,f,,,,0.0,3000.0,+
,,19.5,u,,c,v,7.0,,t,16.0,,,0.0,,+
,33.58,2.75,u,g,,v,4.25,,,6.0,f,g,,,+
,,13665.0,u,g,q,,,f,f,0.0,f,g,,1.0,-
b,42.75,3.0,,g,,bb,1.0,,f,,f,,0.0,200.0,-
,40.92,,y,p,m,v,,f,f,0.0,t,g,,0.0,-
b,,,,g,,v,1.25,t,t,,,g,200.0,0.0,+
b,27.67,13.75,u,g,w,v,5.75,t,f,0.0,,g,487.0,,+
b,,9.75,,g,,,,,f,,f,g,,,-
,33.25,,y,,,,2.0,f,f,,f,,180.0,,-
,57.08,,u,g,c,v,5.5,,t,7.0,,g,0.0,3000.0,+
,43.25,25.21,u,g,q,,0.21,,,1.0,,,760.0,,-
,25.0,,,g,,h,3.5,,t,,,g,,458.0,+
,54.58,,u,,ff,ff,,,t,11.0,t,g,30.0,,+
b,26.17,0.25,,g,i,bb,0.0,,,0.0,,g,0.0,0.0,+
b,,,u,g,,,1085.0,f,,,f,g,320.0,,-
,,6.04,u,,k,v,0.04,f,,,f,,0.0,,+
b,34.0,5085.0,,p,,,,,,,,g,480.0,,-
,21.5,,u,g,i,v,,,f,0.0,t,g,100.0,68.0,-
,47.0,13.0,u,g,i,bb,,,,,,g,,,+
a,,9.0,,g,q,v,8.5,t,,5.0,,g,120.0,,+
b,41.75,,u,,x,v,2.5,t,,,,g,510.0,600.0,+
,22.33,,,,,v,2.0,,,,f,,80.0,,+
b,,,,,,,1665.0,t,,,t,g,40.0,28.0,+
,,5.5,u,,,h,5.5,t,t,,t,g,,,+
b,17.58,,u,,,,165.0,,,,f,,120.0,,-
,26.75,2.0,,g,,,,f,,,,g,80.0,0.0,-
b,,2.5,,,,v,,t,,11.0,t,,60.0,2184.0,+
,,,u,,cc,h,7.0,t,t,8.0,,g,,,+
,,10.0,y,,,v,,t,f,,f,,40.0,,+
a,,,u,g,w,,1085.0,,t,,f,g,,,+
,22.42,5665.0,u,g,q,,2585.0,t,,7.0,,g,,3257.0,+
b,,,,g,m,h,4.25,,t,12.0,t,g,,0.0,+
a,22.92,1.25,,g,,v,0.25,f,f,0.0,,g,120.0,,-
b,,,u,,d,v,165.0,f,f,,f,g,,,-
b,,415.0,,g,c,v,125.0,f,f,,f,g,,44.0,-
a,68.67,15.0,,,e,,0.0,t,,14.0,f,g,0.0,3376.0,+
b,24.58,12.5,,g,,v,875.0,t,f,0.0,,,,,-
,,0.58,u,g,c,v,,t,t,,t,g,,,+
a,,665.0,,p,c,v,,,t,1.0,f,,2000.0,,-
,,5415.0,,g,i,,0.29,f,,,f,,80.0,484.0,-
b,,205.0,y,,,v,0.25,,,,f,g,380.0,2732.0,+
b,,0.0,,g,w,v,1.25,t,,1.0,f,,,0.0,+
,20.17,8.17,u,g,aa,,1.96,t,,14.0,f,g,,158.0,+
b,23.42,585.0,u,,c,,85.0,t,f,0.0,f,,180.0,0.0,-
a,18.92,9.0,,,aa,,,,,2.0,f,g,,,+
b,,,u,g,cc,v,165.0,f,f,0.0,,g,0.0,501.0,-
b,34.08,6.5,,g,aa,v,125.0,,,0.0,,g,,0.0,-
b,25.92,,u,g,,v,375.0,f,t,2.0,,g,,3.0,-
,33.58,0.25,,g,i,bb,4.0,,,0.0,,,420.0,0.0,-
a,38.33,4415.0,u,g,c,,125.0,,f,,f,g,160.0,,-
,,0.0,,,,,,f,f,,,,,0.0,+
b,43.25,3.0,u,,q,h,6.0,,,11.0,,g,,0.0,+
,49.17,2.29,,,ff,ff,,f,f,,f,g,,3.0,-
,22.67,2.54,y,,,h,2585.0,,f,,,,0.0,,+
b,,,u,,,,0.5,t,f,,,g,,0.0,+
b,22.08,0.83,,g,,h,2165.0,,f,0.0,t,,128.0,,+
b,48.08,3.75,u,g,i,bb,1.0,f,,0.0,f,g,,2.0,-
,,10125.0,,g,,,,,,6.0,,g,520.0,,+
b,48.75,,y,p,ff,,,t,,0.0,t,g,,0.0,-
,,1.54,u,g,i,bb,,f,,0.0,,g,216.0,0.0,+
,,,u,g,ff,ff,0.0,f,t,,,g,,,-
b,,,u,g,,bb,,f,,0.0,f,,210.0,687.0,-
,,,u,g,,,,f,,2.0,f,,320.0,,-
b,37.17,4.0,u,,,,,t,,,t,s,280.0,0.0,-
,16.5,,,,q,,0.25,f,t,1.0,f,g,,98.0,-
,34.58,,,,,,,,f,0.0,,p,,0.0,-
,34.67,1.08,u,g,m,,1165.0,f,f,,f,,,0.0,-
b,44.25,11.0,y,p,d,,1.5,t,f,0.0,f,s,0.0,0.0,-
b,20.42,1085.0,u,g,,v,1.5,,f,,,,,7.0,-
b,,,,,,,,,f,,,g,200.0,,-
b,22.67,1585.0,y,p,,v,3085.0,t,,6.0,f,g,,,+
,,,u,,,v,,,f,,f,g,460.0,16.0,-
a,,,,g,c,,0.25,,f,0.0,t,,180.0,,-
a,28.5,1.0,,g,,v,1.0,t,t,2.0,,g,167.0,500.0,-
a,,,u,g,i,,2.25,,f,,,g,0.0,300.0,+
b,,2.75,u,,c,,,t,t,,,,,600.0,+
,26.33,13.0,,g,e,,0.0,f,f,,t,g,140.0,1110.0,-
,,,u,g,,,3.0,,,,,,,,-
b,32.92,2.5,u,g,aa,v,1.75,,t,2.0,t,g,720.0,0.0,-
a,,4585.0,u,g,,,1.0,f,,0.0,,,,,-
,,13.5,y,p,ff,ff,0.0,f,f,,,g,,0.0,-
b,22.67,,u,g,c,j,2.25,,f,0.0,,s,0.0,0.0,+
b,16.5,125.0,u,,,v,,,f,,f,g,132.0,,-
b,,0.21,,,,v,,t,,0.0,t,,,,+
b,,705.0,u,,c,,,f,t,,,g,225.0,,-
,25.25,1.0,u,g,,,0.5,,,0.0,f,g,200.0,0.0,-
b,28.92,15.0,,g,,h,,t,t,11.0,f,g,0.0,2283.0,+
,,5085.0,,p,j,v,0.29,,f,,,g,,184.0,-
a,,1.0,u,g,,,,t,t,,f,,,456.0,+
,27.25,0.29,u,g,m,,,f,t,,t,g,272.0,108.0,-
,37.75,,u,g,q,v,125.0,t,f,,,g,,0.0,+
a,,3.0,u,,,,13875.0,t,,,t,,519.0,1704.0,+
,34.83,4.0,,g,d,,12.5,t,,0.0,,,,0.0,-
,16.92,0.5,u,g,i,v,165.0,f,,6.0,,g,240.0,,-
,35.0,,,,i,,,f,f,0.0,,,210.0,0.0,-
b,,1835.0,u,,,h,,,,0.0,f,g,260.0,,+
,27.83,1.5,,,,v,2.0,t,,,,g,,35.0,+
a,23.58,0.83,,g,,v,415.0,f,,1.0,t,g,,11.0,-
b,34.42,,u,g,i,bb,125.0,f,f,,,g,440.0,4500.0,-
,,11835.0,u,g,c,,,t,f,0.0,f,g,,0.0,+
a,,10.5,u,g,q,v,,,t,7.0,,g,0.0,,+
,22.67,,u,g,,v,165.0,,,0.0,f,,160.0,0.0,-
b,,,u,g,q,v,125.0,f,,0.0,f,g,200.0,0.0,-
a,,,u,,,v,,t,f,0.0,f,g,160.0,150.0,+
b,31.25,1125.0,u,,ff,ff,,,t,1.0,,,,,-
,29.83,,y,,k,,0.25,f,,0.0,f,g,224.0,0.0,-
,19.33,9.5,,g,q,v,1.0,t,,,,g,,400.0,+
a,24.83,,u,,w,v,1.0,f,f,0.0,t,,360.0,6.0,-
